iter	Passed	Remaining
0	200	200609
1	204	102255
2	209	69678
3	213	53183
4	217	43318
5	221	36776
6	225	32036
7	229	28517
8	233	25753
9	237	23545
10	241	21734
11	245	20228
12	249	18945
13	254	17946
14	259	17028
15	263	16192
16	267	15452
17	271	14791
18	275	14198
19	278	13662
20	282	13183
21	286	12753
22	290	12352
23	293	11935
24	296	11549
25	299	11230
26	302	10893
27	306	10622
28	308	10329
29	311	10056
30	313	9808
31	315	9552
32	317	9312
33	319	9084
34	321	8858
35	322	8643
36	324	8440
37	326	8263
38	328	8090
39	329	7917
40	331	7762
41	333	7607
42	335	7456
43	336	7311
44	337	7172
45	339	7041
46	341	6925
47	343	6809
48	345	6699
49	346	6592
50	348	6485
51	350	6383
52	352	6290
53	353	6199
54	355	6106
55	357	6018
56	358	5931
57	359	5845
58	361	5760
59	362	5679
60	363	5602
61	365	5526
62	366	5450
63	367	5377
64	368	5306
65	370	5240
66	371	5173
67	372	5100
68	373	5037
69	374	4977
70	375	4918
71	377	4860
72	378	4803
73	379	4748
74	380	4694
75	381	4642
76	383	4592
77	384	4542
78	385	4494
79	386	4447
80	387	4401
81	389	4357
82	390	4314
83	391	4271
84	392	4225
85	393	4184
86	394	4140
87	395	4101
88	397	4064
89	398	4027
90	399	3991
91	400	3955
92	402	3920
93	403	3887
94	404	3853
95	405	3820
96	406	3788
97	408	3756
98	409	3726
99	410	3696
100	411	3666
101	412	3632
102	413	3603
103	415	3575
104	416	3547
105	417	3520
106	418	3494
107	419	3467
108	421	3442
109	422	3417
110	423	3392
111	424	3368
112	426	3345
113	427	3321
114	428	3298
115	429	3274
116	430	3251
117	432	3229
118	433	3206
119	434	3184
120	435	3163
121	436	3143
122	437	3119
123	438	3099
124	439	3079
125	441	3063
126	443	3048
127	444	3026
128	445	3007
129	446	2989
130	447	2970
131	449	2953
132	450	2935
133	451	2918
134	452	2901
135	453	2884
136	455	2867
137	456	2849
138	457	2833
139	458	2817
140	459	2801
141	461	2786
142	462	2770
143	463	2755
144	464	2741
145	466	2726
146	467	2711
147	468	2696
148	470	2684
149	471	2673
150	473	2660
151	474	2647
152	475	2633
153	476	2620
154	478	2606
155	479	2593
156	480	2580
157	481	2567
158	483	2554
159	484	2542
160	485	2530
161	486	2517
162	488	2506
163	489	2494
164	490	2482
165	491	2470
166	493	2459
167	494	2447
168	495	2436
169	496	2424
170	497	2413
171	499	2402
172	500	2391
173	501	2380
174	502	2369
175	503	2358
176	505	2348
177	506	2337
178	507	2327
179	508	2317
180	509	2304
181	510	2294
182	512	2286
183	513	2276
184	514	2266
185	515	2257
186	516	2247
187	518	2238
188	519	2228
189	520	2219
190	521	2210
191	523	2201
192	524	2192
193	525	2184
194	527	2176
195	528	2167
196	529	2159
197	530	2150
198	532	2142
199	533	2133
200	534	2125
201	535	2116
202	537	2108
203	538	2100
204	539	2093
205	541	2087
206	543	2080
207	544	2072
208	545	2064
209	546	2057
210	548	2049
211	549	2041
212	550	2033
213	551	2026
214	553	2019
215	554	2012
216	555	2004
217	556	1997
218	558	1990
219	559	1982
220	560	1975
221	561	1968
222	562	1961
223	564	1954
